period,respondent,respondent-name,fueltype,type-name,value,value-units
2021-06-01T20,CISO,California Independent System Operator,COL,Coal,18,megawatthours
2021-06-01T20,CISO,California Independent System Operator,WAT,Hydro,1117,megawatthours
2021-06-01T21,CISO,California Independent System Operator,OTH,Other,38,megawatthours
2021-06-01T21,CISO,California Independent System Operator,OIL,Petroleum,53,megawatthours
2021-06-01T21,CISO,California Independent System Operator,WND,Wind,1235,megawatthours
2021-06-01T21,CISO,California Independent System Operator,SUN,Solar,11983,megawatthours
2021-06-01T21,CISO,California Independent System Operator,NUC,Nuclear,2275,megawatthours
2021-06-01T21,CISO,California Independent System Operator,COL,Coal,18,megawatthours
2021-06-01T21,CISO,California Independent System Operator,NG,Natural gas,10330,megawatthours
2021-06-01T21,CISO,California Independent System Operator,WAT,Hydro,1134,megawatthours
2021-06-01T22,CISO,California Independent System Operator,WND,Wind,1434,megawatthours
2021-06-01T22,CISO,California Independent System Operator,NG,Natural gas,12473,megawatthours
2021-06-01T22,CISO,California Independent System Operator,NUC,Nuclear,2276,megawatthours
2021-06-01T22,CISO,California Independent System Operator,COL,Coal,17,megawatthours
2021-06-01T22,CISO,California Independent System Operator,WAT,Hydro,1491,megawatthours
2021-06-01T22,CISO,California Independent System Operator,OIL,Petroleum,55,megawatthours
2021-06-01T22,CISO,California Independent System Operator,OTH,Other,-42,megawatthours
2021-06-01T22,CISO,California Independent System Operator,SUN,Solar,10600,megawatthours
2021-06-01T23,CISO,California Independent System Operator,NUC,Nuclear,2277,megawatthours
2021-06-01T23,CISO,California Independent System Operator,WND,Wind,1799,megawatthours
2021-06-01T23,CISO,California Independent System Operator,COL,Coal,17,megawatthours
2021-06-01T23,CISO,California Independent System Operator,NG,Natural gas,13251,megawatthours
2021-06-01T23,CISO,California Independent System Operator,SUN,Solar,10626,megawatthours
2021-06-01T23,CISO,California Independent System Operator,OTH,Other,-202,megawatthours
2021-06-01T23,CISO,California Independent System Operator,WAT,Hydro,1645,megawatthours
2021-06-01T23,CISO,California Independent System Operator,OIL,Petroleum,55,megawatthours
