period,stateid,stateName,sector,sectorName,entityid,entityName,plantid,plantName,generatorid,unit,technology,energy_source_code,energy-source-desc,prime_mover_code,balancing_authority_code,balancing-authority-name,status,statusDescription,nameplate-capacity-mw,nameplate-capacity-mw-units
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59872,"Solar Star California XX, LLC",58389,Solar Star 2,SS24,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,43.5,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59872,"Solar Star California XX, LLC",58389,Solar Star 2,SS25,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,52.5,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59842,"Blythe Solar 110, LLC",60093,"Blythe Solar 110, LLC",BES1,,Batteries,MWH,Electricity used for energy storage,BA,CISO,California Independent System Operator,OP,Operating,63.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59842,"Blythe Solar 110, LLC",60093,"Blythe Solar 110, LLC",BLCK1,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,38.7,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59842,"Blythe Solar 110, LLC",60093,"Blythe Solar 110, LLC",BLCK2,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,36.3,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59842,"Blythe Solar 110, LLC",60093,"Blythe Solar 110, LLC",BLCK3,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,34.8,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59843,"Blythe Solar II, LLC",60092,"Blythe Solar II, LLC",BLCK4,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,33.2,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,56099,Covanta Delano Inc,10840,Covanta Delano Energy,GEN1,,Wood/Wood Waste Biomass,WDS,Wood Waste Solids,ST,CISO,California Independent System Operator,OS,Out of service and NOT expected to return to service in next calendar year,31.8,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,56099,Covanta Delano Inc,10840,Covanta Delano Energy,GEN2,,Wood/Wood Waste Biomass,WDS,Wood Waste Solids,ST,CISO,California Independent System Operator,OS,Out of service and NOT expected to return to service in next calendar year,25.2,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59211,"Adelanto Solar, LLC",59441,"Adelanto Solar, LLC",SAS,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,20.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59212,"Adelanto Solar II, LLC",59440,"Adelanto Solar II, LLC",SAS,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,7.0,MW
2021-06,CA,California,industrial-non-chp,Industrial Non-CHP,59213,Maas Energy Works,64687,Van der Hoek Solar Array/ Dairy,VDH,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,59213,Maas Energy Works,65168,Five H Farms Solar Array,FHF,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.0,MW
2021-06,CA,California,industrial-non-chp,Industrial Non-CHP,59213,Maas Energy Works,65169,Van der Kooi Dairy Solary Array,VDK,,Solar Photovoltaic,SUN,Solar,PV,CISO,California Independent System Operator,OP,Operating,1.0,MW
