datetime,Grid Node To,Value,unit,Grid Node From,start_datetime,end_datetime
2022-08-01 14:00:00+00:00,UK-NIR,206.0,MW,UK-GB,2022-08-01 14:00,2022-08-01 15:00
2022-08-01 14:30:00+00:00,BE,-20.0,MW,UK-GB,2022-08-01 14:30,2022-08-01 15:30
2022-08-01 14:30:00+00:00,FR,-2060.0,MW,UK-GB,2022-08-01 14:30,2022-08-01 15:30
2022-08-01 14:30:00+00:00,IE,504.0,MW,UK-GB,2022-08-01 14:30,2022-08-01 15:30
2022-08-01 14:30:00+00:00,NL,464.0,MW,UK-GB,2022-08-01 14:30,2022-08-01 15:30
2022-08-01 14:30:00+00:00,NO,-846.0,MW,UK-GB,2022-08-01 14:30,2022-08-01 15:30
2022-08-01 14:30:00+00:00,UK-NIR,206.0,MW,UK-GB,2022-08-01 14:30,2022-08-01 15:30
2022-08-01 15:00:00+00:00,BE,-20.0,MW,UK-GB,2022-08-01 15:00,2022-08-01 16:00
2022-08-01 15:00:00+00:00,FR,-2060.0,MW,UK-GB,2022-08-01 15:00,2022-08-01 16:00
2022-08-01 15:00:00+00:00,IE,504.0,MW,UK-GB,2022-08-01 15:00,2022-08-01 16:00
2022-08-01 15:00:00+00:00,NL,450.0,MW,UK-GB,2022-08-01 15:00,2022-08-01 16:00
2022-08-01 15:00:00+00:00,NO,-872.0,MW,UK-GB,2022-08-01 15:00,2022-08-01 16:00
2022-08-01 15:00:00+00:00,UK-NIR,208.0,MW,UK-GB,2022-08-01 15:00,2022-08-01 16:00
2022-08-01 15:30:00+00:00,BE,-330.0,MW,UK-GB,2022-08-01 15:30,2022-08-01 16:30
2022-08-01 15:30:00+00:00,FR,-2060.0,MW,UK-GB,2022-08-01 15:30,2022-08-01 16:30
2022-08-01 15:30:00+00:00,IE,504.0,MW,UK-GB,2022-08-01 15:30,2022-08-01 16:30
2022-08-01 15:30:00+00:00,NL,-136.0,MW,UK-GB,2022-08-01 15:30,2022-08-01 16:30
2022-08-01 15:30:00+00:00,NO,-462.0,MW,UK-GB,2022-08-01 15:30,2022-08-01 16:30
2022-08-01 15:30:00+00:00,UK-NIR,208.0,MW,UK-GB,2022-08-01 15:30,2022-08-01 16:30
2022-08-01 16:00:00+00:00,BE,-334.0,MW,UK-GB,2022-08-01 16:00,2022-08-01 17:00
2022-08-01 16:00:00+00:00,FR,-2060.0,MW,UK-GB,2022-08-01 16:00,2022-08-01 17:00
2022-08-01 16:00:00+00:00,IE,504.0,MW,UK-GB,2022-08-01 16:00,2022-08-01 17:00
2022-08-01 16:00:00+00:00,NL,-140.0,MW,UK-GB,2022-08-01 16:00,2022-08-01 17:00
2022-08-01 16:00:00+00:00,NO,-412.0,MW,UK-GB,2022-08-01 16:00,2022-08-01 17:00
2022-08-01 16:00:00+00:00,UK-NIR,208.0,MW,UK-GB,2022-08-01 16:00,2022-08-01 17:00
2022-08-01 16:30:00+00:00,BE,-816.0,MW,UK-GB,2022-08-01 16:30,2022-08-01 17:30
2022-08-01 16:30:00+00:00,FR,-2058.0,MW,UK-GB,2022-08-01 16:30,2022-08-01 17:30
2022-08-01 16:30:00+00:00,IE,504.0,MW,UK-GB,2022-08-01 16:30,2022-08-01 17:30
2022-08-01 16:30:00+00:00,NL,100.0,MW,UK-GB,2022-08-01 16:30,2022-08-01 17:30
2022-08-01 16:30:00+00:00,NO,-40.0,MW,UK-GB,2022-08-01 16:30,2022-08-01 17:30
2022-08-01 16:30:00+00:00,UK-NIR,208.0,MW,UK-GB,2022-08-01 16:30,2022-08-01 17:30
2022-08-01 17:00:00+00:00,BE,-824.0,MW,UK-GB,2022-08-01 17:00,2022-08-01 18:00
2022-08-01 17:00:00+00:00,FR,-2058.0,MW,UK-GB,2022-08-01 17:00,2022-08-01 18:00
2022-08-01 17:00:00+00:00,IE,504.0,MW,UK-GB,2022-08-01 17:00,2022-08-01 18:00
2022-08-01 17:00:00+00:00,NL,114.0,MW,UK-GB,2022-08-01 17:00,2022-08-01 18:00
2022-08-01 17:00:00+00:00,NO,-18.0,MW,UK-GB,2022-08-01 17:00,2022-08-01 18:00
2022-08-01 17:00:00+00:00,UK-NIR,208.0,MW,UK-GB,2022-08-01 17:00,2022-08-01 18:00
2022-08-01 17:30:00+00:00,BE,-640.0,MW,UK-GB,2022-08-01 17:30,2022-08-01 18:30
2022-08-01 17:30:00+00:00,FR,-2058.0,MW,UK-GB,2022-08-01 17:30,2022-08-01 18:30
2022-08-01 17:30:00+00:00,IE,504.0,MW,UK-GB,2022-08-01 17:30,2022-08-01 18:30
2022-08-01 17:30:00+00:00,NL,-102.0,MW,UK-GB,2022-08-01 17:30,2022-08-01 18:30
2022-08-01 17:30:00+00:00,NO,-148.0,MW,UK-GB,2022-08-01 17:30,2022-08-01 18:30
2022-08-01 17:30:00+00:00,UK-NIR,208.0,MW,UK-GB,2022-08-01 17:30,2022-08-01 18:30
2022-08-01 18:00:00+00:00,BE,-640.0,MW,UK-GB,2022-08-01 18:00,2022-08-01 19:00
2022-08-01 18:00:00+00:00,FR,-2058.0,MW,UK-GB,2022-08-01 18:00,2022-08-01 19:00
2022-08-01 18:00:00+00:00,IE,504.0,MW,UK-GB,2022-08-01 18:00,2022-08-01 19:00
2022-08-01 18:00:00+00:00,NL,-104.0,MW,UK-GB,2022-08-01 18:00,2022-08-01 19:00
2022-08-01 18:00:00+00:00,NO,-176.0,MW,UK-GB,2022-08-01 18:00,2022-08-01 19:00
2022-08-01 18:00:00+00:00,UK-NIR,208.0,MW,UK-GB,2022-08-01 18:00,2022-08-01 19:00
2022-08-01 18:30:00+00:00,BE,-814.0,MW,UK-GB,2022-08-01 18:30,2022-08-01 19:30
2022-08-01 18:30:00+00:00,FR,-2060.0,MW,UK-GB,2022-08-01 18:30,2022-08-01 19:30
2022-08-01 18:30:00+00:00,IE,504.0,MW,UK-GB,2022-08-01 18:30,2022-08-01 19:30
2022-08-01 18:30:00+00:00,NL,100.0,MW,UK-GB,2022-08-01 18:30,2022-08-01 19:30
2022-08-01 18:30:00+00:00,NO,-576.0,MW,UK-GB,2022-08-01 18:30,2022-08-01 19:30
2022-08-01 18:30:00+00:00,UK-NIR,208.0,MW,UK-GB,2022-08-01 18:30,2022-08-01 19:30
2022-08-01 19:00:00+00:00,BE,-816.0,MW,UK-GB,2022-08-01 19:00,2022-08-01 20:00
2022-08-01 19:00:00+00:00,FR,-2060.0,MW,UK-GB,2022-08-01 19:00,2022-08-01 20:00
2022-08-01 19:00:00+00:00,IE,504.0,MW,UK-GB,2022-08-01 19:00,2022-08-01 20:00
2022-08-01 19:00:00+00:00,NL,104.0,MW,UK-GB,2022-08-01 19:00,2022-08-01 20:00
2022-08-01 19:00:00+00:00,NO,-632.0,MW,UK-GB,2022-08-01 19:00,2022-08-01 20:00
2022-08-01 19:00:00+00:00,UK-NIR,208.0,MW,UK-GB,2022-08-01 19:00,2022-08-01 20:00
2022-08-01 19:30:00+00:00,BE,-788.0,MW,UK-GB,2022-08-01 19:30,2022-08-01 20:30
2022-08-01 19:30:00+00:00,FR,-2058.0,MW,UK-GB,2022-08-01 19:30,2022-08-01 20:30
2022-08-01 19:30:00+00:00,IE,504.0,MW,UK-GB,2022-08-01 19:30,2022-08-01 20:30
2022-08-01 19:30:00+00:00,NL,-308.0,MW,UK-GB,2022-08-01 19:30,2022-08-01 20:30
2022-08-01 19:30:00+00:00,NO,-1042.0,MW,UK-GB,2022-08-01 19:30,2022-08-01 20:30
2022-08-01 19:30:00+00:00,UK-NIR,208.0,MW,UK-GB,2022-08-01 19:30,2022-08-01 20:30
2022-08-01 20:00:00+00:00,BE,-790.0,MW,UK-GB,2022-08-01 20:00,2022-08-01 21:00
2022-08-01 20:00:00+00:00,FR,-2058.0,MW,UK-GB,2022-08-01 20:00,2022-08-01 21:00
2022-08-01 20:00:00+00:00,IE,504.0,MW,UK-GB,2022-08-01 20:00,2022-08-01 21:00
2022-08-01 20:00:00+00:00,NL,-330.0,MW,UK-GB,2022-08-01 20:00,2022-08-01 21:00
2022-08-01 20:00:00+00:00,NO,-1092.0,MW,UK-GB,2022-08-01 20:00,2022-08-01 21:00
2022-08-01 20:00:00+00:00,UK-NIR,208.0,MW,UK-GB,2022-08-01 20:00,2022-08-01 21:00
2022-08-01 20:30:00+00:00,BE,-712.0,MW,UK-GB,2022-08-01 20:30,2022-08-01 21:30
2022-08-01 20:30:00+00:00,FR,-2058.0,MW,UK-GB,2022-08-01 20:30,2022-08-01 21:30
2022-08-01 20:30:00+00:00,IE,504.0,MW,UK-GB,2022-08-01 20:30,2022-08-01 21:30
2022-08-01 20:30:00+00:00,NL,-710.0,MW,UK-GB,2022-08-01 20:30,2022-08-01 21:30
2022-08-01 20:30:00+00:00,NO,-1224.0,MW,UK-GB,2022-08-01 20:30,2022-08-01 21:30
