datetime,Grid Node From,Grid Node To,Value,unit
2022-08-01 01:00:00+00:00,UK-GB,NL,-516.0,MW
2022-08-01 01:00:00+00:00,UK-GB,NO,-1164.0,MW
2022-08-01 01:30:00+00:00,UK-GB,BE,-1018.0,MW
2022-08-01 01:30:00+00:00,UK-GB,FR,-2060.0,MW
2022-08-01 01:30:00+00:00,UK-GB,NL,-568.0,MW
2022-08-01 01:30:00+00:00,UK-GB,NO,-926.0,MW
2022-08-01 02:00:00+00:00,UK-GB,BE,-1020.0,MW
2022-08-01 02:00:00+00:00,UK-GB,FR,-2062.0,MW
2022-08-01 02:00:00+00:00,UK-GB,NL,-568.0,MW
2022-08-01 02:00:00+00:00,UK-GB,NO,-908.0,MW
2022-08-01 02:30:00+00:00,UK-GB,BE,-1020.0,MW
2022-08-01 02:30:00+00:00,UK-GB,FR,-2060.0,MW
2022-08-01 02:30:00+00:00,UK-GB,NL,-200.0,MW
2022-08-01 02:30:00+00:00,UK-GB,NO,-1074.0,MW
2022-08-01 03:00:00+00:00,UK-GB,BE,-1020.0,MW
2022-08-01 03:00:00+00:00,UK-GB,FR,-2062.0,MW
2022-08-01 03:00:00+00:00,UK-GB,NL,-200.0,MW
2022-08-01 03:00:00+00:00,UK-GB,NO,-1092.0,MW
2022-08-01 03:30:00+00:00,UK-GB,BE,-1020.0,MW
2022-08-01 03:30:00+00:00,UK-GB,FR,-2062.0,MW
2022-08-01 03:30:00+00:00,UK-GB,NL,-608.0,MW
2022-08-01 03:30:00+00:00,UK-GB,NO,-1038.0,MW
2022-08-01 04:00:00+00:00,UK-GB,BE,-1020.0,MW
2022-08-01 04:00:00+00:00,UK-GB,FR,-2062.0,MW
2022-08-01 04:00:00+00:00,UK-GB,NL,-608.0,MW
2022-08-01 04:00:00+00:00,UK-GB,NO,-1022.0,MW
2022-08-01 04:30:00+00:00,UK-GB,BE,-918.0,MW
2022-08-01 04:30:00+00:00,UK-GB,FR,-2060.0,MW
2022-08-01 04:30:00+00:00,UK-GB,NL,-566.0,MW
2022-08-01 04:30:00+00:00,UK-GB,NO,-906.0,MW
2022-08-01 05:00:00+00:00,UK-GB,BE,-894.0,MW
2022-08-01 05:00:00+00:00,UK-GB,FR,-2060.0,MW
2022-08-01 05:00:00+00:00,UK-GB,NL,-566.0,MW
2022-08-01 05:00:00+00:00,UK-GB,NO,-856.0,MW
2022-08-01 05:30:00+00:00,UK-GB,BE,-198.0,MW
2022-08-01 05:30:00+00:00,UK-GB,FR,-2060.0,MW
2022-08-01 05:30:00+00:00,UK-GB,NL,-338.0,MW
2022-08-01 05:30:00+00:00,UK-GB,NO,-470.0,MW
2022-08-01 06:00:00+00:00,UK-GB,BE,-178.0,MW
2022-08-01 06:00:00+00:00,UK-GB,FR,-2034.0,MW
2022-08-01 06:00:00+00:00,UK-GB,NL,-310.0,MW
2022-08-01 06:00:00+00:00,UK-GB,NO,-394.0,MW
2022-08-01 06:30:00+00:00,UK-GB,BE,-342.0,MW
2022-08-01 06:30:00+00:00,UK-GB,FR,-1424.0,MW
2022-08-01 06:30:00+00:00,UK-GB,NO,-22.0,MW
2022-08-01 07:00:00+00:00,UK-GB,BE,-344.0,MW
2022-08-01 07:00:00+00:00,UK-GB,FR,-1400.0,MW
2022-08-01 07:30:00+00:00,UK-GB,BE,-286.0,MW
2022-08-01 07:30:00+00:00,UK-GB,FR,-1404.0,MW
2022-08-01 08:00:00+00:00,UK-GB,BE,-272.0,MW
2022-08-01 08:00:00+00:00,UK-GB,FR,-1406.0,MW
2022-08-01 08:30:00+00:00,UK-GB,FR,-1482.0,MW
2022-08-01 09:00:00+00:00,UK-GB,FR,-1496.0,MW
2022-08-01 09:30:00+00:00,UK-GB,FR,-1800.0,MW
2022-08-01 10:00:00+00:00,UK-GB,FR,-1818.0,MW
2022-08-01 10:30:00+00:00,UK-GB,FR,-2048.0,MW
2022-08-01 11:00:00+00:00,UK-GB,FR,-2060.0,MW
2022-08-01 11:30:00+00:00,UK-GB,FR,-2060.0,MW
2022-08-01 12:00:00+00:00,UK-GB,FR,-2060.0,MW
2022-08-01 12:30:00+00:00,UK-GB,FR,-2058.0,MW
2022-08-01 13:00:00+00:00,UK-GB,FR,-2058.0,MW
2022-08-01 13:00:00+00:00,UK-GB,NO,-40.0,MW
2022-08-01 13:30:00+00:00,UK-GB,BE,-26.0,MW
2022-08-01 13:30:00+00:00,UK-GB,FR,-2060.0,MW
2022-08-01 13:30:00+00:00,UK-GB,NO,-396.0,MW
2022-08-01 14:00:00+00:00,UK-GB,BE,-32.0,MW
2022-08-01 14:00:00+00:00,UK-GB,FR,-2060.0,MW
2022-08-01 14:00:00+00:00,UK-GB,NO,-476.0,MW
2022-08-01 14:30:00+00:00,UK-GB,BE,-20.0,MW
2022-08-01 14:30:00+00:00,UK-GB,FR,-2060.0,MW
2022-08-01 14:30:00+00:00,UK-GB,NO,-846.0,MW
2022-08-01 15:00:00+00:00,UK-GB,BE,-20.0,MW
2022-08-01 15:00:00+00:00,UK-GB,FR,-2060.0,MW
2022-08-01 15:00:00+00:00,UK-GB,NO,-872.0,MW
2022-08-01 15:30:00+00:00,UK-GB,BE,-330.0,MW
2022-08-01 15:30:00+00:00,UK-GB,FR,-2060.0,MW
2022-08-01 15:30:00+00:00,UK-GB,NL,-136.0,MW
2022-08-01 15:30:00+00:00,UK-GB,NO,-462.0,MW
2022-08-01 16:00:00+00:00,UK-GB,BE,-334.0,MW
2022-08-01 16:00:00+00:00,UK-GB,FR,-2060.0,MW
2022-08-01 16:00:00+00:00,UK-GB,NL,-140.0,MW
2022-08-01 16:00:00+00:00,UK-GB,NO,-412.0,MW
2022-08-01 16:30:00+00:00,UK-GB,BE,-816.0,MW
2022-08-01 16:30:00+00:00,UK-GB,FR,-2058.0,MW
2022-08-01 16:30:00+00:00,UK-GB,NO,-40.0,MW
2022-08-01 17:00:00+00:00,UK-GB,BE,-824.0,MW
2022-08-01 17:00:00+00:00,UK-GB,FR,-2058.0,MW
2022-08-01 17:00:00+00:00,UK-GB,NO,-18.0,MW
2022-08-01 17:30:00+00:00,UK-GB,BE,-640.0,MW
2022-08-01 17:30:00+00:00,UK-GB,FR,-2058.0,MW
2022-08-01 17:30:00+00:00,UK-GB,NL,-102.0,MW
2022-08-01 17:30:00+00:00,UK-GB,NO,-148.0,MW
2022-08-01 18:00:00+00:00,UK-GB,BE,-640.0,MW
