nationalBoundaryIdentifier,settlementDate,settlementPeriod,recordType,publishingPeriodCommencingTime,demand,activeFlag,spnDemand,spnGeneration
N,2022-01-02,1,DAID,2022-01-01 23:45:00,,Y,-23629,
N,2022-01-02,2,DAID,2022-01-02 00:15:00,,Y,-23261,
N,2022-01-02,3,DAID,2022-01-02 00:45:00,,Y,-23284,
N,2022-01-02,4,DAID,2022-01-02 01:15:00,,Y,-23124,
N,2022-01-02,5,DAID,2022-01-02 01:45:00,,Y,-22909,
N,2022-01-02,6,DAID,2022-01-02 02:15:00,,Y,-22989,
N,2022-01-02,7,DAID,2022-01-02 02:45:00,,Y,-23283,
N,2022-01-02,8,DAID,2022-01-02 03:15:00,,Y,-22973,
N,2022-01-02,9,DAID,2022-01-02 03:45:00,,Y,-23654,
N,2022-01-02,10,DAID,2022-01-02 04:15:00,,Y,-23749,
N,2022-01-02,11,DAID,2022-01-02 04:45:00,,Y,-24485,
N,2022-01-02,12,DAID,2022-01-02 05:15:00,,Y,-24835,
N,2022-01-02,13,DAID,2022-01-02 05:45:00,,Y,-25766,
N,2022-01-02,14,DAID,2022-01-02 06:15:00,,Y,-26266,
N,2022-01-02,15,DAID,2022-01-02 06:45:00,,Y,-25732,
N,2022-01-02,16,DAID,2022-01-02 07:15:00,,Y,-25974,
N,2022-01-02,17,DAID,2022-01-02 07:45:00,,Y,-26553,
N,2022-01-02,18,DAID,2022-01-02 08:15:00,,Y,-27309,
N,2022-01-02,19,DAID,2022-01-02 08:15:00,,Y,-26761,
N,2022-01-02,20,DAID,2022-01-02 09:15:00,,Y,-27584,
N,2022-01-02,21,DAID,2022-01-02 09:45:00,,Y,-27413,
N,2022-01-02,22,DAID,2022-01-02 10:15:00,,Y,-27752,
N,2022-01-02,23,DAID,2022-01-02 10:45:00,,Y,-28430,
N,2022-01-02,24,DAID,2022-01-02 11:15:00,,Y,-28674,
N,2022-01-02,25,DAID,2022-01-02 11:45:00,,Y,-28893,
N,2022-01-02,26,DAID,2022-01-02 12:15:00,,Y,-28956,
N,2022-01-02,27,DAID,2022-01-02 12:45:00,,Y,-28941,
N,2022-01-02,28,DAID,2022-01-02 13:15:00,,Y,-28982,
N,2022-01-02,29,DAID,2022-01-02 13:45:00,,Y,-28880,
N,2022-01-02,30,DAID,2022-01-02 14:15:00,,Y,-29137,
N,2022-01-02,31,DAID,2022-01-02 14:45:00,,Y,-29413,
